id,designation,short,names,aliases,tags,type,type_label,code,constellation,ra_deg,dec_deg,major_arcmin,minor_arcmin,v_mag,sb,sb_basis,messier,caldwell,plannable,why_not,source
ngc3998,NGC 3998,NGC 3998,,pgc37642|ugc6946,,galaxy,Lenticular galaxy,G,Ursa Major,179.48388,55.45358,2.78,2.26,10.51,21.47,leda,,,1,,NGC3998
ngc4013,NGC 4013,NGC 4013,,pgc37691|ugc6963,,galaxy,Spiral galaxy,G,Ursa Major,179.63075,43.94658,4.89,1.23,11.31,22.68,leda,,,1,,NGC4013
ngc4026,NGC 4026,NGC 4026,,pgc37760|ugc6985,,galaxy,Lenticular galaxy,G,Ursa Major,179.85496,50.96169,4.41,0.87,10.78,22.62,leda,,,1,,NGC4026
ngc4027,NGC 4027,NGC 4027,,eso572-37|pgc37773|ugca260,,galaxy,Spiral galaxy,G,Corvus,179.87571,-19.26522,3.54,2.80,11.17,22.45,leda,,,1,,NGC4027
ngc4030,NGC 4030,NGC 4030,,pgc37845|ugc6993,,galaxy,Spiral galaxy,G,Virgo,180.09846,-1.10008,3.78,2.65,10.51,21.86,leda,,,1,,NGC4030
ngc4033,NGC 4033,NGC 4033,,eso572-42|pgc37863,,galaxy,Elliptical galaxy,G,Corvus,180.14475,-17.84261,2.59,1.30,11.79,22.69,leda,,,1,,NGC4033
ngc4036,NGC 4036,NGC 4036,,pgc37930|ugc7005,,galaxy,Lenticular galaxy,G,Ursa Major,180.36146,61.89578,4.85,2.08,10.84,22.96,leda,,,1,,NGC4036
ngc4038,NGC 4038 · C 60,NGC 4038,Antennae Galaxies,c60|eso572-47|pgc37967|ugca264,,galaxy,Irregular galaxy,G,Corvus,180.47088,-18.86761,5.42,3.78,10.20,22.29,leda,,60,1,,NGC4038
ngc4039,NGC 4039 · C 61,NGC 4039,Antennae Galaxies,c61|eso572-48|pgc37969|ugca265,,galaxy,Irregular galaxy,G,Corvus,180.47296,-18.88619,5.36,2.73,10.59,22.37,leda,,61,1,,NGC4039
ngc4041,NGC 4041,NGC 4041,,pgc37999|ugc7014,,galaxy,Spiral galaxy,G,Ursa Major,180.55083,62.13722,2.57,2.39,11.08,21.81,leda,,,1,,NGC4041
ngc4045,NGC 4045 · NGC 4046,NGC 4045,,ngc4046|pgc38031|ugc7021,,galaxy,Spiral galaxy,G,Virgo,180.67600,1.97681,2.55,1.58,11.81,22.33,leda,,,1,,NGC4045
ngc4051,NGC 4051,NGC 4051,,pgc38068|ugc7030,,galaxy,Spiral galaxy,G,Ursa Major,180.79004,44.53133,4.89,4.26,10.02,22.12,leda,,,1,,NGC4051
ngc4052,NGC 4052,NGC 4052,,mwsc1991,,open-cluster,Open cluster,OCl,Crux,180.52163,-63.22347,5.10,,8.80,20.97,derived,,,1,,NGC4052
ngc4062,NGC 4062,NGC 4062,,pgc38150|ugc7045,,galaxy,Spiral galaxy,G,Ursa Major,181.01596,31.89581,4.14,1.61,11.15,22.20,leda,,,1,,NGC4062
ngc4064,NGC 4064,NGC 4064,,pgc38167|ugc7054,,galaxy,Spiral galaxy,G,Coma Berenices,181.04650,18.44342,3.22,1.31,11.33,22.17,leda,,,1,,NGC4064
ngc4071,NGC 4071,NGC 4071,,eso94-12,,planetary-nebula,Planetary nebula,PN,Musca,181.06571,-67.31011,1.05,,13.00,21.73,derived,,,1,,NGC4071
ngc4073,NGC 4073,NGC 4073,,pgc38201|ugc7060,,galaxy,Elliptical galaxy,G,Virgo,181.11279,1.89597,2.09,1.70,11.51,22.00,leda,,,1,,NGC4073
ngc4085,NGC 4085,NGC 4085,,pgc38283|ugc7075,,galaxy,Spiral galaxy,G,Ursa Major,181.34463,50.35294,2.22,0.57,11.73,21.10,leda,,,1,,NGC4085
ngc4088,NGC 4088,NGC 4088,,pgc38302|ugc7081,,galaxy,Spiral galaxy,G,Ursa Major,181.39246,50.53903,7.01,2.65,10.60,22.70,leda,,,1,,NGC4088
ngc4096,NGC 4096,NGC 4096,,pgc38361|ugc7090,,galaxy,Spiral galaxy,G,Ursa Major,181.50471,47.47844,5.65,1.43,10.57,21.95,leda,,,1,,NGC4096
ngc4100,NGC 4100,NGC 4100,,pgc38370|ugc7095,,galaxy,Spiral galaxy,G,Ursa Major,181.53521,49.58269,4.56,1.30,11.09,22.17,leda,,,1,,NGC4100
ngc4102,NGC 4102,NGC 4102,,pgc38392|ugc7096,,galaxy,Spiral galaxy,G,Ursa Major,181.59579,52.71108,2.94,1.67,11.33,22.01,leda,,,1,,NGC4102
ngc4103,NGC 4103,NGC 4103,,mwsc1997,,open-cluster,Open cluster,OCl,Crux,181.66487,-61.25008,7.80,,7.40,20.49,derived,,,1,,NGC4103
ngc4105,NGC 4105,NGC 4105,,eso440-54|pgc38411,,galaxy,Elliptical galaxy,G,Hydra,181.66987,-29.76022,4.33,3.41,10.62,22.66,leda,,,1,,NGC4105
ngc4106,NGC 4106,NGC 4106,,eso440-56|pgc38417,,galaxy,Lenticular galaxy,G,Hydra,181.68667,-29.76831,4.14,3.33,11.30,23.11,leda,,,1,,NGC4106
ngc4123,NGC 4123,NGC 4123,,pgc38531|ugc7116,,galaxy,Spiral galaxy,G,Virgo,182.04629,2.87828,3.18,2.32,11.39,22.38,leda,,,1,,NGC4123
ngc4125,NGC 4125,NGC 4125,,pgc38524|ugc7118,,galaxy,Elliptical galaxy,G,Draco,182.02508,65.17414,5.87,4.58,9.71,22.41,leda,,,1,,NGC4125
ngc4128,NGC 4128,NGC 4128,,pgc38555|ugc7120,,galaxy,Lenticular galaxy,G,Draco,182.13471,68.76761,2.21,0.67,11.96,22.34,leda,,,1,,NGC4128
ngc4136,NGC 4136,NGC 4136,,pgc38618|ugc7134,,galaxy,Spiral galaxy,G,Coma Berenices,182.32371,29.92761,2.34,2.18,11.33,22.02,leda,,,1,,NGC4136
ngc4138,NGC 4138,NGC 4138,,pgc38643|ugc7139,,galaxy,Lenticular galaxy,G,Canes Venatici,182.37408,43.68531,2.92,1.64,11.80,22.81,leda,,,1,,NGC4138
